Date,Open,High,Low,Close,Adj Close,Volume,股票代碼,公司名稱,產業類別,SMA_20,K,D,B_K,B_D,macd,dif,macd_d,buyOrsell,B_Close,winOrloss,percentage
2023-07-04,696.0,702.0,691.0,700.0,681.9307250976562,3753123,2454,聯發科,半導體業,733.2,22.097120073968956,17.682778683940935,10.923457888731212,15.475607988926923,-10.668447173080153,-3.8530918866991133,-10.71008272227084,1,697.0,-1,-0.004285714285714286
2023-07-11,682.0,687.0,676.0,686.0,668.2921142578125,3372502,2454,聯發科,半導體業,713.8,26.064744207271634,25.607285275025188,18.78461631090745,25.378555808901964,-13.26542273288021,-9.657205717315062,-13.447094588260484,1,685.0,-1,-0.0014577259475218659
2020-03-03,81.0999984741211,82.0,80.5999984741211,81.0,67.39917755126953,34822180,2317,鴻海,其他電子業,82.55499992370605,28.315801908930673,27.572400323827207,20.1658553714064,27.20068481055012,-2.0486493990050008,-2.0344059603157425,-2.1354193063873055,1,71.4000015258789,-1,-0.11851849968050733
2020-05-27,74.80000305175781,75.5,74.80000305175781,75.30000305175781,62.656272888183594,22380029,2317,鴻海,其他電子業,75.675,29.143702759991772,25.157604128499848,21.215515993014996,23.16455481275388,-0.07021249690058085,0.17634220523590835,-0.09612994759881133,1,75.30000305175781,-1,0.0
2020-08-06,79.30000305175781,79.69999694824219,78.5,79.0,69.11427307128906,33250505,2317,鴻海,其他電子業,82.15000038146972,19.18122077677103,14.144331032365272,11.807527204546032,11.625886160162393,-1.3936168961878224,-0.7722102678358779,-1.4451882075475453,1,80.5,1,0.0189873417721519
2020-09-28,74.9000015258789,76.9000015258789,74.80000305175781,76.9000015258789,67.27706146240234,31682528,2317,鴻海,其他電子業,77.46000061035156,25.960154055965337,26.386566231317744,12.525123164065242,26.599772318993946,-0.7605160876482984,-0.5735307062899347,-0.8270552306282895,1,77.4000015258789,1,0.006501950456161391
2021-09-15,108.0,110.5,107.5,108.5,98.42222595214844,63262671,2317,鴻海,其他電子業,108.375,27.852221906500176,33.029455966215586,23.921190002607407,35.61807299607329,-0.5757936818910281,-0.5055984499283706,-0.6341050564137731,1,107.0,-1,-0.013824884792626729
2021-09-24,107.5,108.0,107.0,107.5,97.5151138305664,15280177,2317,鴻海,其他電子業,108.6,27.43811348641351,28.772019650776098,24.49050356295359,29.438972732957392,-0.6595210077277756,-0.5882649450708324,-0.6828031487836626,1,105.0,-1,-0.023255813953488372
2021-12-21,103.5,104.5,103.0,104.5,94.79376220703125,13187322,2317,鴻海,其他電子業,104.675,25.419059088180287,25.126038216928837,13.128588632270429,24.979527781303116,-0.7045457051160327,-0.6364219257143794,-0.7668595933749742,1,103.5,-1,-0.009569377990430622
2022-04-13,103.0,104.5,102.5,104.0,94.34020233154297,15837431,2317,鴻海,其他電子業,104.275,26.61418121180219,25.355448771205317,14.921271817703287,24.72608255090688,-0.2549546385542243,0.013908264048665117,-0.29597124756286064,1,104.0,-1,0.0
2022-04-28,100.0,101.5,100.0,101.5,92.0724105834961,27751372,2317,鴻海,其他電子業,102.95,26.975483608655043,28.079214786352868,19.53297222372049,28.63108037520178,-0.8060500888933149,-0.553503632320793,-0.8142559353428283,1,102.5,1,0.009852216748768473
2022-07-13,103.0,103.5,102.5,102.5,97.77608489990234,31813542,2317,鴻海,其他電子業,106.55,20.5152891491191,20.03376746967897,14.983460039468122,19.793006629958906,-2.302004314079255,-1.579851693395576,-2.354888030965924,1,105.0,1,0.024390243902439025
